0610009B22Rik	26.92	23.4433	31.96	24.428	27.8125
0610009O20Rik	18.7486	22.7233	21.3933	18.16	16.595
0610010F05Rik	8.09429	7.41	20.5633	16.266	10.315
0610010K14Rik	89.5271	123.82	70.6633	55.834	51.675
0610012G03Rik	19.2986	27.11	23.0867	36.402	32.995
0610030E20Rik	6.83571	6.60667	8.17	8.28	7.77
0610037L13Rik	55.6986	64.3467	40.4767	51.368	50.3975
0610040J01Rik	1.17714	5.32	1.79333	1.7	13.905
1110002E22Rik	0.0185714	0.0366667	0.0366667	0.042	0.06
1110004E09Rik	38.0443	44.3567	26.5233	23.012	39.4075
1110004F10Rik	69.1029	100.173	127.227	95.668	83.015
1110008F13Rik	117.783	122.637	80.5533	94.338	116.375
1110008L16Rik	18.2986	9.86333	6.37	4.52	13.1025
1110008P14Rik	23.5629	22.99	28.61	32.88	44.295
1110012L19Rik	8.45	12	13.9	14.49	16.3975
1110017D15Rik	0.0228571	0.116667	1.33333	1.86	5.6175
1110025L11Rik	0.0171429	0.0366667	0	0.114	0
1110032A03Rik	3.65714	7.10333	17.3933	18.63	32.3825
1110032F04Rik	0.247143	0.896667	0.793333	2.934	0.6725
1110034G24Rik	5.61286	6.66667	6.72667	6.664	4.22
1110038F14Rik	31.1443	40.4167	33.1667	26.438	25.6425
1110051M20Rik	11.9957	17.0533	32.4367	28.784	20.5325
1110057P08Rik	0	0	0	0	0
1110059E24Rik	29.5271	20.4933	23.8933	18.182	17.845
1110059G10Rik	7.48286	9.26667	9.42667	10.848	8.6825
1110065P20Rik	16.2743	19.5567	23.44	47.434	40.5975
1190002N15Rik	12.5129	8.46667	8.58667	8.938	11.0325
1190005I06Rik	13.3786	1.96333	1.35333	5.522	9.3375
1190007I07Rik	33.0057	23.7967	8.45667	7.586	9.635
1300017J02Rik	0.877143	0.363333	0.193333	0.296	0.1225
1500009C09Rik	0.0742857	0	0.966667	7.238	8.4475
1500009L16Rik	44.31	25.5233	15.8567	18.098	13.87
1500011B03Rik	22.3843	23.2833	62.8233	56.1	41.5875
1500011K16Rik	10.9971	16.2667	11.2867	24.132	25.53
1500015O10Rik	0.221429	0.78	0	5.408	45.5525
1520401A03Rik	0.0114286	0.01	0	0.046	0.01
1600002K03Rik	5.41714	10.0233	7.31333	6.582	7.86
1600012H06Rik	11.8986	12.3033	13.6067	22.842	25.7825
1600014C10Rik	2.07714	4.10333	6.05333	7.454	8.035
1600014C23Rik	0	0.196667	0.223333	0.252	0.185
1600015I10Rik	0.0271429	0.00666667	0	0.002	0
1700001C02Rik	0.0114286	0.0533333	0	0.126	1.4775
1700001C19Rik	0.29	0.0766667	0.02	0.31	0.195
1700001F09Rik	0	0.04	0.146667	0.018	0
1700001J03Rik	0.0614286	0.27	0.0533333	0.102	0.0825
